id,original_label,reason
138,0,verified exact normalized name+description conflict group
289,0,verified exact normalized name+description conflict group
553,0,verified exact normalized name+description conflict group
653,0,verified exact normalized name+description conflict group
1023,0,verified exact normalized name+description conflict group
1298,0,verified exact normalized name+description conflict group
1422,0,verified exact normalized name+description conflict group
1423,0,verified exact normalized name+description conflict group
1568,0,verified exact normalized name+description conflict group
1616,0,verified exact normalized name+description conflict group
1620,0,verified exact normalized name+description conflict group
1741,0,verified exact normalized name+description conflict group
1775,0,verified exact normalized name+description conflict group
1917,0,verified exact normalized name+description conflict group
2020,0,verified exact normalized name+description conflict group
2451,0,verified exact normalized name+description conflict group
2634,0,verified exact normalized name+description conflict group
2767,0,verified exact normalized name+description conflict group
3155,0,verified exact normalized name+description conflict group
3193,0,verified exact normalized name+description conflict group
3272,0,verified exact normalized name+description conflict group
3339,0,verified exact normalized name+description conflict group
3391,0,verified exact normalized name+description conflict group
3480,0,verified exact normalized name+description conflict group
3606,0,verified exact normalized name+description conflict group
3897,0,verified exact normalized name+description conflict group
4011,0,verified exact normalized name+description conflict group
4045,0,verified exact normalized name+description conflict group
4343,0,verified exact normalized name+description conflict group
4418,0,verified exact normalized name+description conflict group
4504,0,verified exact normalized name+description conflict group
5158,0,verified exact normalized name+description conflict group
5208,0,verified exact normalized name+description conflict group
5586,0,verified exact normalized name+description conflict group
6076,0,verified exact normalized name+description conflict group
6173,0,verified exact normalized name+description conflict group
6405,0,verified exact normalized name+description conflict group
6469,0,verified exact normalized name+description conflict group
6517,0,verified exact normalized name+description conflict group
6563,0,verified exact normalized name+description conflict group
6627,0,verified exact normalized name+description conflict group
6744,0,verified exact normalized name+description conflict group
6914,0,verified exact normalized name+description conflict group
6950,0,verified exact normalized name+description conflict group
7271,0,verified exact normalized name+description conflict group
7455,0,verified exact normalized name+description conflict group
7572,0,verified exact normalized name+description conflict group
7702,0,verified exact normalized name+description conflict group
7757,0,verified exact normalized name+description conflict group
8042,0,verified exact normalized name+description conflict group
8171,0,verified exact normalized name+description conflict group
8296,0,verified exact normalized name+description conflict group
8366,0,verified exact normalized name+description conflict group
8514,0,verified exact normalized name+description conflict group
9059,0,verified exact normalized name+description conflict group
9221,0,verified exact normalized name+description conflict group
9352,0,verified exact normalized name+description conflict group
9880,0,verified exact normalized name+description conflict group
10455,0,verified exact normalized name+description conflict group
10656,0,verified exact normalized name+description conflict group
10941,0,verified exact normalized name+description conflict group
11075,0,verified exact normalized name+description conflict group
11412,0,verified exact normalized name+description conflict group
11462,0,verified exact normalized name+description conflict group
11526,0,verified exact normalized name+description conflict group
11808,0,verified exact normalized name+description conflict group
11889,0,verified exact normalized name+description conflict group
12140,0,verified exact normalized name+description conflict group
12170,0,verified exact normalized name+description conflict group
12789,0,verified exact normalized name+description conflict group
12861,0,verified exact normalized name+description conflict group
13055,0,verified exact normalized name+description conflict group
13249,0,verified exact normalized name+description conflict group
13425,0,verified exact normalized name+description conflict group
13611,0,verified exact normalized name+description conflict group
13744,0,verified exact normalized name+description conflict group
14130,0,verified exact normalized name+description conflict group
14885,0,verified exact normalized name+description conflict group
14971,0,verified exact normalized name+description conflict group
15154,0,verified exact normalized name+description conflict group
15178,0,verified exact normalized name+description conflict group
15361,0,verified exact normalized name+description conflict group
