date,experiment,thresholds,score,note
2026-08-16,OLD BAD + OLD FIRE,both 0.50,0.8928104575,Preserved old best used as immutable runtime base
2026-08-17,NEW BAD + NEW FIRE,both 0.50,0.866557,Controlled adapter ablation; NEW BAD caused major regression
2026-08-17,NEW BAD + OLD FIRE,both 0.50,0.853378,Controlled adapter ablation
2026-08-17,OLD BAD + NEW FIRE (Hybrid A),both 0.50,0.9024064171122994,Successful hybrid; second final candidate
2026-08-26,CLEAN213 HQ-OCR BAD + successful FIRE,BAD 0.50 / FIRE 0.50,0.9008031442241968,"Cleaned-data branch, initial threshold"
2026-08-27,CLEAN213 threshold sweep,BAD 0.65 / FIRE 0.50,0.9000646273158122,Threshold ablation
2026-08-27,CLEAN213 threshold sweep,BAD 0.575 / FIRE 0.50,0.8992402781354623,Threshold ablation
2026-08-27,CLEAN213 threshold sweep,BAD 0.425 / FIRE 0.50,0.9013589503280225,Threshold ablation
2026-08-27,CLEAN213 threshold sweep,BAD 0.35 / FIRE 0.50,0.9023513904243559,Threshold ablation
2026-08-27,CLEAN213 threshold sweep,BAD 0.30 / FIRE 0.50,0.90197202,Threshold ablation
2026-08-27,CLEAN213 threshold sweep,BAD 0.25 / FIRE 0.50,0.90287145,Threshold ablation
2026-08-27,CLEAN213 threshold sweep,BAD 0.20 / FIRE 0.50,0.90318486,Best reported CLEAN213 threshold sweep point
2026-08-27,OLD BAD + NEW FIRE (private best),BAD 0.12 / FIRE 0.50,0.9042222978144401,Private leaderboard best; 2nd place
